TAIR ENTREZID
AT1G01010 839580
AT1G01020 839569
AT1G01030 839321
AT1G01040 839574
AT1G01050 839579
AT1G01060 839341
AT1G01070 839550
AT1G01080 839463
AT1G01090 839429
AT1G01100 839410
AT1G01110 839394
AT1G01120 839395
AT1G01130 839359
AT1G01140 839349
AT1G01150 839294
AT1G01160 839278
AT1G01170 839263
AT1G01180 839239
AT1G01190 839233
AT1G01200 839493
AT1G01210 839481
AT1G01220 839420
AT1G01225 839358
AT1G01230 839331
AT1G01240 839274
AT1G01250 839322
AT1G01260 839545
AT1G01280 839470
AT1G01290 839445
AT1G01300 839375
AT1G01305 6240609
AT1G01310 839333
AT1G01320 839293
AT1G01335 NA
AT1G01340 838832
AT1G01350 838964
AT1G01355 6241268
AT1G01360 838452
AT1G01370 839104
AT1G01380 838096
AT1G01390 837790
AT1G01400 837049
AT1G01410 837547
AT1G01420 837503
AT1G01430 837247
AT1G01440 837155
AT1G01450 837060
AT1G01453 6240388
AT1G01460 839469
AT1G01470 837071
AT1G01480 837082
AT1G01490 839440
AT1G01500 839430
AT1G01510 839401
AT1G01520 839337
AT1G01530 837142
AT1G01540 839533
AT1G01550 839536
AT1G01560 839523
AT1G01570 837183
AT1G01580 839411
AT1G01590 837194
AT1G01600 839347
AT1G01610 839297
AT1G01620 839235
AT1G01630 839231
AT1G01640 839534
AT1G01650 839499
AT1G01660 839461
AT1G01670 839365
AT1G01680 839251
AT1G01690 839243
AT1G01695 6241450
AT1G01700 839250
AT1G01710 839254
AT1G01715 NA
AT1G01720 839265
AT1G01725 839271
AT1G01730 839260
AT1G01740 839253
AT1G01750 839281
AT1G01760 839252
AT1G01770 837323
AT1G01780 839267
AT1G01790 837332
AT1G01800 839259
AT1G01810 839247
AT1G01820 839257
AT1G01830 839264
AT1G01840 839291
AT1G01860 839283
AT1G01880 837373
AT1G01900 839318
AT1G01910 839305
AT1G01920 839313
AT1G01930 839310
AT1G01940 839309
AT1G01950 839306
AT1G01960 839301
AT1G01970 839299
AT1G01980 839296
AT1G01990 837456
AT1G02000 839289
AT1G02010 839288
AT1G02020 837477
AT1G02030 839285
AT1G02040 839284
AT1G02050 839280
AT1G02060 839279
AT1G02065 839275
AT1G02067 NA
AT1G02070 839270
AT1G02080 839244
AT1G02090 839241
AT1G02100 837541
AT1G02110 839234
AT1G02120 839232
AT1G02130 837023
AT1G02140 837560
AT1G02145 5007658
AT1G02150 839577
AT1G02160 839554
AT1G02170 839561
AT1G02180 839543
AT1G02190 839541
AT1G02205 837602
AT1G02210 839482
AT1G02220 839476
AT1G02230 837630
AT1G02250 839390
AT1G02260 839344
AT1G02270 839381
AT1G02280 839248
AT1G02290 839255
AT1G02300 839576
AT1G02305 839538
AT1G02310 839444
AT1G02320 839425
AT1G02330 839367
AT1G02335 3766642
AT1G02340 839300
AT1G02350 839490
AT1G02360 837724
AT1G02370 837735
AT1G02380 837745
AT1G02390 839558
AT1G02400 839508
AT1G02405 837769
AT1G02410 839364
AT1G02420 837779
AT1G02430 839242
AT1G02440 839230
AT1G02450 837800
AT1G02460 839443
AT1G02470 837812
AT1G02475 839236
AT1G02490 28716023
AT1G02500 839501
AT1G02510 837846
AT1G02520 839353
AT1G02530 839282
AT1G02540 839516
AT1G02550 837879
AT1G02560 839433
AT1G02570 839485
AT1G02575 10723100
AT1G02580 839422
AT1G02590 839372
AT1G02610 837915
AT1G02620 839269
AT1G02630 839240
AT1G02640 837940
AT1G02650 837951
AT1G02660 839544
AT1G02670 839532
AT1G02680 837962
AT1G02690 839517
AT1G02700 839492
AT1G02705 NA
AT1G02710 839483
AT1G02720 839475
AT1G02730 839467
AT1G02740 839455
AT1G02750 839432
